experiment,agent_type,group_type,window,avg_opinion,polarization,negative_emotion,emotional_contagion,message_count,distortion_level
DeepSeek,ORDINARY,MAJOR,before,0.068,0.486,0.469,0.024,24.0,0.07
DeepSeek,ORDINARY,MAJOR,after,0.128,0.456,0.424,0.03,54.0,0.07
DeepSeek,RATIONAL,CAMPUS,before,0.118,0.506,0.469,0.024,26.0,0.07
DeepSeek,RATIONAL,CAMPUS,after,0.178,0.476,0.424,0.03,56.0,0.07
DeepSeek,RATIONAL,CLASS,before,0.098,0.506,0.469,0.024,26.0,0.07
DeepSeek,RATIONAL,CLASS,after,0.158,0.476,0.424,0.03,56.0,0.07
DeepSeek,RATIONAL,DORM,before,0.088,0.506,0.469,0.024,26.0,0.07
DeepSeek,RATIONAL,DORM,after,0.148,0.476,0.424,0.03,56.0,0.07
DeepSeek,RATIONAL,MAJOR,before,0.108,0.506,0.469,0.024,26.0,0.07
DeepSeek,RATIONAL,MAJOR,after,0.168,0.476,0.424,0.03,56.0,0.07
Mock,ACTIVE,CAMPUS,before,-0.022,0.496,0.429,0.02,25.0,0.05
Mock,ACTIVE,CAMPUS,after,0.038,0.466,0.384,0.02,55.0,0.05
Mock,ACTIVE,CLASS,before,-0.042,0.496,0.429,0.02,25.0,0.05
Mock,ACTIVE,CLASS,after,0.018,0.466,0.384,0.02,55.0,0.05
Mock,ACTIVE,DORM,before,-0.052,0.496,0.429,0.02,25.0,0.05
Mock,ACTIVE,DORM,after,0.008,0.466,0.384,0.02,55.0,0.05
Mock,ACTIVE,MAJOR,before,-0.032,0.496,0.429,0.02,25.0,0.05
Mock,ACTIVE,MAJOR,after,0.028,0.466,0.384,0.02,55.0,0.05
Mock,CONTROLLER,CAMPUS,before,0.018,0.516,0.429,0.02,27.0,0.05
Mock,CONTROLLER,CAMPUS,after,0.078,0.486,0.384,0.02,57.0,0.05
Mock,CONTROLLER,CLASS,before,-0.002,0.516,0.429,0.02,27.0,0.05
Mock,CONTROLLER,CLASS,after,0.058,0.486,0.384,0.02,57.0,0.05
Mock,CONTROLLER,DORM,before,-0.012,0.516,0.429,0.02,27.0,0.05
Mock,CONTROLLER,DORM,after,0.048,0.486,0.384,0.02,57.0,0.05
Mock,CONTROLLER,MAJOR,before,0.008,0.516,0.429,0.02,27.0,0.05
Mock,CONTROLLER,MAJOR,after,0.068,0.486,0.384,0.02,57.0,0.05
Mock,ORDINARY,CAMPUS,before,-0.042,0.486,0.429,0.02,24.0,0.05
Mock,ORDINARY,CAMPUS,after,0.018,0.456,0.384,0.02,54.0,0.05
Mock,ORDINARY,CLASS,before,-0.062,0.486,0.429,0.02,24.0,0.05
Mock,ORDINARY,CLASS,after,-0.002,0.456,0.384,0.02,54.0,0.05
Mock,ORDINARY,DORM,before,-0.072,0.486,0.429,0.02,24.0,0.05
Mock,ORDINARY,DORM,after,-0.012,0.456,0.384,0.02,54.0,0.05
Mock,ORDINARY,MAJOR,before,-0.052,0.486,0.429,0.02,24.0,0.05
Mock,ORDINARY,MAJOR,after,0.008,0.456,0.384,0.02,54.0,0.05
Mock,RATIONAL,CAMPUS,before,-0.002,0.506,0.429,0.02,26.0,0.05
Mock,RATIONAL,CAMPUS,after,0.058,0.476,0.384,0.02,56.0,0.05
Mock,RATIONAL,CLASS,before,-0.022,0.506,0.429,0.02,26.0,0.05
Mock,RATIONAL,CLASS,after,0.038,0.476,0.384,0.02,56.0,0.05
Mock,RATIONAL,DORM,before,-0.032,0.506,0.429,0.02,26.0,0.05
Mock,RATIONAL,DORM,after,0.028,0.476,0.384,0.02,56.0,0.05
Mock,RATIONAL,MAJOR,before,-0.012,0.506,0.429,0.02,26.0,0.05
Mock,RATIONAL,MAJOR,after,0.048,0.476,0.384,0.02,56.0,0.05
